1000,8.3
2000,10.4
3000,11.8
4000,12.5
5000,13.4
6000,13.8
7000,14.3
8000,14.3
9000,14.6
10000,14.8
11000,15.5
12000,15.7
13000,15.7
14000,15.8
16000,16
